f	k2	P	P_fit	P_n	P_s
9.8600	3838.0760	4.6452e-04	4.1030e-04	4.1030e-04	6.0218e-10
9.8700	3845.8651	4.7399e-04	4.1028e-04	4.1028e-04	5.7835e-10
9.8800	3853.6620	4.8341e-04	4.1027e-04	4.1027e-04	5.5544e-10
9.8900	3861.4669	4.9269e-04	4.1026e-04	4.1026e-04	5.3341e-10
9.9000	3869.2797	5.0171e-04	4.1025e-04	4.1025e-04	5.1224e-10
9.9100	3877.1004	5.1037e-04	4.1024e-04	4.1023e-04	4.9189e-10
9.9200	3884.9290	5.1855e-04	4.1023e-04	4.1023e-04	4.7232e-10
9.9300	3892.7654	5.2613e-04	4.1022e-04	4.1022e-04	4.5352e-10
9.9400	3900.6098	5.3300e-04	4.1021e-04	4.1021e-04	4.3545e-10
9.9500	3908.4620	5.3903e-04	4.1020e-04	4.1020e-04	4.1808e-10
9.9600	3916.3222	5.4413e-04	4.1020e-04	4.1020e-04	4.0138e-10
9.9700	3924.1902	5.4820e-04	4.1019e-04	4.1019e-04	3.8534e-10
9.9800	3932.0662	5.5116e-04	4.1019e-04	4.1019e-04	3.6992e-10
9.9900	3939.9500	5.5296e-04	4.1019e-04	4.1019e-04	3.5511e-10
